PLZ4,PLZZ,PLZNAMK
3777,0,Saanenmöser
3778,0,Schönried
3780,0,Gstaad
3781,0,Turbach
3783,0,Grund b. Gstaad
3792,0,Saanen
1738,0,Sangernboden
3150,0,Schwarzenburg
3156,0,Riffenmatt
3157,0,Milken
3158,0,Guggisberg
3159,0,Riedstätt
1738,0,Sangernboden
3099,0,Rüti b. Riggisberg
3152,0,Mamishaus
3153,0,Rüschegg Gambach
3154,0,Rüschegg Heubach
3156,0,Riffenmatt
3157,0,Milken
3148,0,Lanzenhäusern
3150,0,Schwarzenburg
3152,0,Mamishaus
3154,0,Rüschegg Heubach
3157,0,Milken
3183,0,Albligen
3086,0,Zimmerwald
3115,0,Gerzensee
3122,0,Kehrsatz
3123,0,Belp
3124,0,Belpberg
3125,0,Toffen
3664,0,Burgistein
3665,0,Wattenwil
3125,0,Toffen
3126,2,Gelterfingen
3115,0,Gerzensee
3663,0,Gurzelen
3664,0,Burgistein
3629,3,Jaberg
3126,0,Kaufdorf
3122,0,Kehrsatz
3123,0,Belp
3116,0,Kirchdorf BE
3629,0,Kiesen
3128,0,Kirchenthurnen
3127,2,Lohnstorf
3115,0,Gerzensee
3116,2,Mühledorf BE
3127,0,Mühlethurnen
3128,0,Kirchenthurnen
3086,0,Zimmerwald
3087,0,Niedermuhlern
3116,3,Noflen BE
3099,0,Rüti b. Riggisberg
3132,0,Riggisberg
3155,0,Helgisried
3664,0,Burgistein
3087,0,Niedermuhlern
3088,0,Rüeggisberg
3088,2,Oberbütschel
3089,0,Hinterfultigen
3099,0,Rüti b. Riggisberg
3132,0,Riggisberg
3154,0,Rüschegg Heubach
3155,0,Helgisried
3128,2,Rümligen
3132,0,Riggisberg
3662,0,Seftigen
3123,0,Belp
3125,0,Toffen
3628,0,Uttigen
3664,0,Burgistein
3665,0,Wattenwil
3086,0,Zimmerwald
3086,2,Englisberg
3087,0,Niedermuhlern
3096,0,Oberbalm
3536,0,Aeschau
3537,0,Eggiwil
3550,0,Langnau i. E.
3618,0,Süderen
6197,0,Schangnau
3535,0,Schüpbach
3543,0,Emmenmatt
3550,0,Langnau i. E.
3551,0,Oberfrittenbach
3552,0,Bärau
3553,0,Gohl
3555,0,Trubschachen
3434,1,Landiswil
3436,0,Zollbrück
3438,0,Lauperswil
3543,0,Emmenmatt
3550,0,Langnau i. E.
3551,0,Oberfrittenbach
3533,0,Bowil
3537,0,Eggiwil
3538,0,Röthenbach i. E.
3615,0,Heimenschwand
3618,0,Süderen
3432,0,Lützelflüh-Goldb
3433,0,Schwanden i. E.
3436,0,Zollbrück
3437,0,Rüderswil
